в@@	52
с@@	40
з@@	38
по@@	35
т@@	31
у@@	30
у	27
н@@	27
м	27
на@@	25
ти	24
не@@	23
е	23
м@@	22
д@@	22
в	22
я@@	21
и	21
е@@	21
ви@@	21
і	20
ро@@	20
р@@	20
о@@	20
а	20
х	19
про@@	19
ть	18
ні	18
й	18
за@@	18
ві@@	18
а@@	18
ли@@	17
і@@	16
до@@	16
б@@	16
ю	15
й@@	15
го@@	15
бі@@	15
сть	14
к@@	14
ж@@	14
ди@@	14
г@@	14
ш@@	13
ч@@	13
ри@@	13
о	13
ння	13
ми@@	13
ка@@	13
и@@	13
да@@	13
х@@	12
ти@@	12
п@@	12
ний	12
вір@@	12
ло@@	11
во@@	11
ї	10
я	10
свя@@	10
ва@@	10
ся	9
ста@@	9
сла@@	9
ог@@	9
муд@@	9
му@@	9
мо@@	9
ли	9
бо@@	9
хо@@	8
сь	8
сти	8
ст@@	8
рі@@	8
ра@@	8
пог@@	8
мерт@@	8
люб@@	8
к	8
ді@@	8
доб@@	8
велик@@	8
ї@@	7
щ@@	7
те	7
сти@@	7
розумі@@	7
роз@@	7
правед@@	7
правд@@	7
пок@@	7
пи@@	7
пере@@	7
па@@	7
нн@@	7
ми	7
лу@@	7
л@@	7
ко	7
голод@@	7
від@@	7
ві	7
важ@@	7
ва	7
би@@	7
ан@@	7
є@@	6
ю@@	6
ще@@	6
ус@@	6
то@@	6
сті	6
стю	6
слі@@	6
ру@@	6
р	6
пі@@	6
при@@	6
ого	6
них	6
ним	6
на	6
н	6
ль	6
ле@@	6
ла@@	6
гн@@	6
без@@	6
істи@@	5
є	5
чи@@	5
хва@@	5
торкну@@	5
тися	5
терпі@@	5
сьвя@@	5
слї@@	5
рі	5
ре@@	5
радо@@	5
премуд@@	5
пас@@	5
од@@	5
ного	5
но	5
ниц@@	5
ник@@	5
мило@@	5
лі@@	5
ляка@@	5
люби@@	5
ло	5
ла	5
ку	5
ки	5
заг@@	5
жи@@	5
ду@@	5
грі@@	5
віч@@	5
впа@@	5
вий	5
бити	5
б	5
ці	4
ц@@	4
ху@@	4
ті@@	4
те@@	4
т	4
стражда@@	4
соро@@	4
поді@@	4
пе@@	4
ою	4
оги@@	4
нь	4
ннє	4
ниці	4
ницю	4
ників	4
ник	4
ни@@	4
мож@@	4
мерти	4
любо@@	4
лю@@	4
лу	4
лися	4
лись	4
л	4
ку@@	4
ки@@	4
йте@@	4
зь@@	4
зра@@	4
звіри@@	4
ер@@	4
дї@@	4
ду	4
добро@@	4
д	4
гріш@@	4
гроб@@	4
голо@@	4
га@@	4
віль@@	4
виді@@	4
вати	4
благода@@	4
ір@@	3
ів	3
яз@@	3
яво@@	3
ься	3
ього	3
чу@@	3
чин@@	3
стра@@	3
прав@@	3
пра@@	3
пер@@	3
мер@@	3
ве@@	3
благо@@	3
с	2
розу@@	2
п	2
ну@@	2
мі@@	2
г	2
бе@@	2
ґ@@	1
ь	1
ч	1
тор@@	1
тер@@	1
сл@@	1
ля@@	1
ль@@	1
зві@@	1
вя@@	1
